model	predictor	coef	se	p_value	converged	se_robust	p_robust
Baseline GLM	(Intercept)	4.037	2.959	0.172	Yes	---	---
Baseline GLM	DTP3 coverage	-0.037	0.032	0.247	Yes	0.158	0.816
Baseline GLM	Reported cases	-0.024	0.021	0.258	Yes	0.035	0.49
Cluster-robust (HC3)	(Intercept)	4.037	---	---	Yes	15.072	0.789
Cluster-robust (HC3)	DTP3 coverage	-0.037	---	---	Yes	0.158	0.816
Cluster-robust (HC3)	Reported cases	-0.024	---	---	Yes	0.035	0.49
GEE (exchangeable)	---	---	---	---	No (separation)	---	---
IPW-weighted GLM	(Intercept)	37.822	31.185	0.225	Yes	---	---
IPW-weighted GLM	DTP3 coverage	-0.391	0.332	0.239	Yes	---	---
IPW-weighted GLM	Reported cases	-0.019	0.076	0.8	Yes	---	---
Exclude n < 10	(Intercept)	41.124	6.213	3.6e-11	Yes	---	---
Exclude n < 10	DTP3 coverage	-0.429	0.066	9.2e-11	Yes	---	---
Exclude n < 10	Reported cases	-0.001	0.023	0.973	Yes	---	---
Country fixed effects	---	---	---	---	No (separation)	---	---
Extended (acellular)	(Intercept)	-5.917	12153.7	1	Yes	---	---
Extended (acellular)	DTP3 coverage	-0.21	0.047	1e-05	Yes	---	---
Extended (acellular)	Reported cases	-0.01	0.021	0.646	Yes	---	---
Extended (acellular)	Acellular fraction	26.218	12153.7	0.998	Yes	---	---
Within-country: USA (n=11)	DTP3 coverage	-0.75	0.087	5.8e-08	Yes	---	---
Within-country: USA (n=11)	Reported cases	---	---	0.017	Yes	---	---
Within-country: CHN (n=4)	DTP3 coverage	1.494	---	0.998	Yes	---	---
Within-country: NZL (n=3)	DTP3 coverage	9.228	---	0.999	Yes	---	---
Within-country: ZAF (n=4)	DTP3 coverage	0	---	1	Yes	---	---
